#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.229670E-01   0.106393E+08   0.106048E+08  -0.490909E+03  -0.491148E+03   0.436232E+07   0.106058E+08   0.106339E+08   0.106058E+08  -0.252572E+00   0.559796E+07   0.559768E+07   0.414509E+01
   0.237454E-01   0.103968E+08   0.103611E+08  -0.448832E+03  -0.449051E+03   0.415699E+07   0.103633E+08   0.103912E+08   0.103633E+08  -0.246798E+00   0.547008E+07   0.546978E+07   0.414106E+01
   0.245503E-01   0.101520E+08   0.101150E+08  -0.410042E+03  -0.410242E+03   0.395639E+07   0.101184E+08   0.101462E+08   0.101184E+08  -0.240967E+00   0.534094E+07   0.534064E+07   0.412857E+01
   0.253824E-01   0.990509E+07   0.986688E+07  -0.374309E+03  -0.374491E+03   0.376070E+07   0.987157E+07   0.989911E+07   0.987157E+07  -0.235088E+00   0.521074E+07   0.521043E+07   0.410707E+01
   0.262428E-01   0.965653E+07   0.961715E+07  -0.341419E+03  -0.341585E+03   0.357007E+07   0.962309E+07   0.965036E+07   0.962309E+07  -0.229170E+00   0.507968E+07   0.507936E+07   0.407598E+01
   0.271323E-01   0.940675E+07   0.936625E+07  -0.311171E+03  -0.311322E+03   0.338468E+07   0.937342E+07   0.940040E+07   0.937342E+07  -0.223224E+00   0.494798E+07   0.494765E+07   0.403478E+01
   0.280519E-01   0.915621E+07   0.911467E+07  -0.283380E+03  -0.283518E+03   0.320480E+07   0.912304E+07   0.914970E+07   0.912304E+07  -0.217262E+00   0.481591E+07   0.481557E+07   0.398298E+01
   0.290027E-01   0.890546E+07   0.886297E+07  -0.257871E+03  -0.257996E+03   0.303068E+07   0.887249E+07   0.889881E+07   0.887249E+07  -0.211295E+00   0.468373E+07   0.468339E+07   0.392014E+01
   0.299858E-01   0.865508E+07   0.861173E+07  -0.234482E+03  -0.234596E+03   0.286246E+07   0.862234E+07   0.864829E+07   0.862234E+07  -0.205338E+00   0.455177E+07   0.455142E+07   0.384589E+01
   0.310022E-01   0.840568E+07   0.836161E+07  -0.213061E+03  -0.213164E+03   0.270022E+07   0.837322E+07   0.839878E+07   0.837322E+07  -0.199405E+00   0.442034E+07   0.441999E+07   0.375995E+01
   0.320530E-01   0.815795E+07   0.811329E+07  -0.193465E+03  -0.193560E+03   0.254419E+07   0.812581E+07   0.815096E+07   0.812581E+07  -0.193513E+00   0.428981E+07   0.428946E+07   0.366212E+01
   0.331394E-01   0.791260E+07   0.786750E+07  -0.175563E+03  -0.175649E+03   0.239454E+07   0.788082E+07   0.790554E+07   0.788082E+07  -0.187679E+00   0.416056E+07   0.416020E+07   0.355235E+01
   0.342627E-01   0.767038E+07   0.762502E+07  -0.159229E+03  -0.159307E+03   0.225130E+07   0.763900E+07   0.766327E+07   0.763900E+07  -0.181920E+00   0.403296E+07   0.403261E+07   0.343071E+01
   0.354240E-01   0.743205E+07   0.738661E+07  -0.144347E+03  -0.144417E+03   0.211456E+07   0.740111E+07   0.742493E+07   0.740111E+07  -0.176255E+00   0.390745E+07   0.390710E+07   0.329744E+01
   0.366247E-01   0.719840E+07   0.715310E+07  -0.130806E+03  -0.130870E+03   0.198442E+07   0.716795E+07   0.719130E+07   0.716795E+07  -0.170702E+00   0.378442E+07   0.378407E+07   0.315296E+01
   0.378661E-01   0.696951E+07   0.692455E+07  -0.118492E+03  -0.118549E+03   0.186068E+07   0.693958E+07   0.696247E+07   0.693958E+07  -0.165264E+00   0.366391E+07   0.366357E+07   0.299796E+01
   0.391496E-01   0.674574E+07   0.670136E+07  -0.107303E+03  -0.107355E+03   0.174321E+07   0.671638E+07   0.673879E+07   0.671638E+07  -0.159948E+00   0.354613E+07   0.354580E+07   0.283334E+01
   0.404766E-01   0.652883E+07   0.648526E+07  -0.971656E+02  -0.972129E+02   0.163230E+07   0.650007E+07   0.652200E+07   0.650007E+07  -0.154797E+00   0.343198E+07   0.343166E+07   0.266003E+01
