#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.984278E-01   0.232048E+07   0.230456E+07  -0.820912E+01  -0.821149E+01   0.180817E+06   0.230770E+07   0.231783E+07   0.230770E+07  -0.519720E-01   0.112381E+07   0.112371E+07   0.347152E+00
   0.102379E+00   0.221421E+07   0.219953E+07  -0.724078E+01  -0.724287E+01   0.163369E+06   0.220206E+07   0.221178E+07   0.220206E+07  -0.495930E-01   0.107238E+07   0.107229E+07   0.298792E+00
   0.106330E+00   0.212689E+07   0.211380E+07  -0.644862E+01  -0.645047E+01   0.148828E+06   0.211535E+07   0.212472E+07   0.211535E+07  -0.476401E-01   0.103016E+07   0.103008E+07   0.245154E+00
   0.110282E+00   0.205361E+07   0.204226E+07  -0.578900E+01  -0.579066E+01   0.136491E+06   0.204264E+07   0.205173E+07   0.204264E+07  -0.460026E-01   0.994759E+06   0.994695E+06   0.193084E+00
   0.114233E+00   0.198884E+07   0.197913E+07  -0.522596E+01  -0.522746E+01   0.125730E+06   0.197840E+07   0.198723E+07   0.197840E+07  -0.445559E-01   0.963480E+06   0.963430E+06   0.148149E+00
   0.118184E+00   0.192741E+07   0.191908E+07  -0.473210E+01  -0.473346E+01   0.116048E+06   0.191744E+07   0.192603E+07   0.191744E+07  -0.431830E-01   0.933799E+06   0.933759E+06   0.113990E+00
   0.122136E+00   0.186539E+07   0.185804E+07  -0.428866E+01  -0.428989E+01   0.107099E+06   0.185583E+07   0.186417E+07   0.185583E+07  -0.417955E-01   0.903800E+06   0.903767E+06   0.920849E-01
   0.126087E+00   0.180051E+07   0.179372E+07  -0.388433E+01  -0.388545E+01   0.986881E+05   0.179132E+07   0.179938E+07   0.179132E+07  -0.403425E-01   0.872386E+06   0.872355E+06   0.819015E-01
   0.130038E+00   0.173209E+07   0.172544E+07  -0.351315E+01  -0.351416E+01   0.907330E+05   0.172321E+07   0.173099E+07   0.172321E+07  -0.388086E-01   0.839222E+06   0.839190E+06   0.813334E-01
   0.133990E+00   0.166064E+07   0.165380E+07  -0.317245E+01  -0.317337E+01   0.832233E+05   0.165203E+07   0.165950E+07   0.165203E+07  -0.372056E-01   0.804562E+06   0.804527E+06   0.873061E-01
